"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1516,,
"AUT","Austria","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1500,,
"AUT","Austria","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1512,,
"AUT","Austria","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1511,,
"AUT","Austria","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1511,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1459,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1455,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1447,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1448,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1449,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1444,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1445,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1448,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1443,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1421,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1420,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1430,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1431,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1429,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1426,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1423,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1425,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1429,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1433,,
"BEL","Belgium","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1595,,
"BEL","Belgium","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1588,,
"BEL","Belgium","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1583,,
"BEL","Belgium","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1578,,
"BEL","Belgium","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1573,,
"BEL","Belgium","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1565,,
"BEL","Belgium","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1572,,
"BEL","Belgium","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1577,,
"BEL","Belgium","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1570,,
"BEL","Belgium","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1548,,
"BEL","Belgium","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1546,,
"BEL","Belgium","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1560,,
"BEL","Belgium","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1560,,
"BEL","Belgium","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1558,,
"BEL","Belgium","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1545,,
"BEL","Belgium","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1545,,
"BEL","Belgium","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1545,,
"BEL","Belgium","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1545,,
"BEL","Belgium","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1545,,
"CAN","Canada","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1778,,
"CAN","Canada","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1764,,
"CAN","Canada","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1751,,
"CAN","Canada","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1739,,
"CAN","Canada","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1747,,
"CAN","Canada","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1741,,
"CAN","Canada","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1741,,
"CAN","Canada","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1739,,
"CAN","Canada","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1740,,
"CAN","Canada","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1712,,
"CAN","Canada","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1718,,
"CAN","Canada","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1718,,
"CAN","Canada","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1726,,
"CAN","Canada","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1721,,
"CAN","Canada","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1718,,
"CAN","Canada","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1718,,
"CAN","Canada","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1714,,
"CAN","Canada","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1705,,
"CAN","Canada","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1721,,
"CAN","Canada","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1787,,
"CAN","Canada","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1774,,
"CAN","Canada","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1755,,
"CAN","Canada","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1745,,
"CAN","Canada","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1755,,
"CAN","Canada","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1745,,
"CAN","Canada","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1744,,
"CAN","Canada","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1744,,
"CAN","Canada","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1741,,
"CAN","Canada","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1712,,
"CAN","Canada","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1715,,
"CAN","Canada","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1713,,
"CAN","Canada","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1722,,
"CAN","Canada","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1716,,
"CAN","Canada","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1710,,
"CAN","Canada","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1712,,
"CAN","Canada","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1706,,
"CAN","Canada","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1695,,
"CAN","Canada","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1708,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,2018,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1922,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1896,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1882,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1900,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1923,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1922,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1914,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1923,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1879,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1883,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1864,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1846.74,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1824.59,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1826.06,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1810.88,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1833,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1805,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1800,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1896,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1818,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1817,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1806,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1817,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1817,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1799,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1784,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1790,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1779,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1800,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1806,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1776,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1763,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1777,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1756,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1779,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1784,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1792,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1407.34,,
